letter,x_box,y_box,width,height,onpix,x_bar,y_bar,x2bar,y2bar,xybar,x2ybr,xy2br,x_ege,xegvy,y_ege,yegvx,letter_encoded
U,4.0,7.0,5.0,5.0,3.0,4.0,8.0,5.0,7.0,10.0,9.0,9.0,3.0,9.0,2.0,6.0,20
J,3.0,6.0,5.0,4.0,1.0,8.0,5.0,4.0,7.0,15.0,7.0,13.0,0.0,7.0,1.0,7.0,9
H,3.0,4.0,5.0,3.0,3.0,7.0,7.0,3.0,6.0,10.0,6.0,8.0,3.0,8.0,3.0,8.0,7
S,4.0,6.0,5.0,4.0,3.0,9.0,7.0,4.0,8.0,11.0,5.0,8.0,2.0,8.0,5.0,9.0,18
N,4.0,8.0,6.0,6.0,5.0,6.0,7.0,7.0,6.0,7.0,5.0,7.0,3.0,7.0,3.0,8.0,13
X,4.0,8.0,5.0,6.0,4.0,8.0,7.0,3.0,8.0,5.0,6.0,7.0,3.0,9.0,7.0,7.0,23
Y,4.0,7.0,4.0,5.0,2.0,3.0,10.0,3.0,6.0,11.0,12.0,7.0,2.0,11.0,2.0,6.0,24
C,5.0,9.0,5.0,7.0,4.0,4.0,8.0,5.0,7.0,11.0,9.0,14.0,2.0,9.0,3.0,7.0,2
A,3.0,6.0,4.0,4.0,2.0,10.0,2.0,2.0,3.0,8.0,2.0,8.0,2.0,6.0,2.0,8.0,0
B,5.0,8.0,7.0,6.0,6.0,10.0,6.0,3.0,6.0,10.0,4.0,7.0,4.0,7.0,5.0,10.0,1
M,3.0,6.0,4.0,4.0,4.0,8.0,5.0,10.0,0.0,6.0,8.0,8.0,6.0,5.0,0.0,8.0,12
V,5.0,11.0,8.0,8.0,2.0,6.0,8.0,5.0,3.0,8.0,14.0,8.0,3.0,9.0,0.0,8.0,21
D,4.0,5.0,5.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,2.0,8.0,3.0,7.0,3
K,4.0,6.0,6.0,4.0,6.0,7.0,6.0,5.0,4.0,6.0,6.0,8.0,6.0,6.0,7.0,12.0,10
B,2.0,3.0,3.0,2.0,2.0,8.0,7.0,3.0,5.0,10.0,5.0,7.0,2.0,8.0,4.0,10.0,1
Y,3.0,6.0,4.0,4.0,2.0,8.0,10.0,2.0,6.0,5.0,12.0,8.0,2.0,11.0,2.0,8.0,24
A,1.0,3.0,3.0,2.0,1.0,11.0,2.0,3.0,2.0,10.0,2.0,9.0,1.0,6.0,2.0,8.0,0
S,3.0,4.0,4.0,7.0,2.0,8.0,7.0,6.0,8.0,4.0,6.0,8.0,0.0,8.0,9.0,7.0,18
E,4.0,4.0,4.0,6.0,3.0,3.0,8.0,6.0,12.0,7.0,5.0,14.0,0.0,8.0,7.0,7.0,4
C,3.0,4.0,4.0,3.0,1.0,5.0,9.0,5.0,7.0,12.0,9.0,10.0,1.0,10.0,3.0,7.0,2
D,5.0,5.0,5.0,8.0,3.0,5.0,7.0,11.0,9.0,7.0,6.0,5.0,3.0,8.0,4.0,8.0,3
E,3.0,4.0,5.0,3.0,2.0,6.0,8.0,2.0,9.0,11.0,7.0,8.0,2.0,8.0,4.0,6.0,4
M,2.0,1.0,2.0,1.0,1.0,7.0,7.0,10.0,0.0,7.0,8.0,8.0,6.0,6.0,0.0,8.0,12
S,3.0,2.0,4.0,3.0,3.0,8.0,7.0,7.0,5.0,7.0,6.0,8.0,3.0,9.0,9.0,8.0,18
Z,4.0,8.0,5.0,6.0,4.0,9.0,9.0,6.0,4.0,7.0,5.0,8.0,3.0,8.0,10.0,7.0,25
O,6.0,11.0,6.0,8.0,6.0,7.0,6.0,7.0,4.0,10.0,5.0,10.0,5.0,7.0,4.0,7.0,14
S,6.0,10.0,8.0,9.0,9.0,9.0,8.0,4.0,5.0,7.0,7.0,8.0,5.0,10.0,9.0,11.0,18
X,5.0,8.0,7.0,6.0,3.0,9.0,6.0,2.0,8.0,11.0,2.0,7.0,3.0,9.0,4.0,9.0,23
W,3.0,4.0,4.0,3.0,3.0,7.0,11.0,2.0,2.0,7.0,9.0,8.0,6.0,11.0,1.0,8.0,22
V,3.0,8.0,5.0,6.0,1.0,5.0,8.0,4.0,3.0,8.0,14.0,8.0,3.0,9.0,0.0,8.0,21
Y,3.0,7.0,5.0,5.0,3.0,7.0,10.0,1.0,5.0,5.0,11.0,9.0,2.0,11.0,1.0,8.0,24
C,4.0,7.0,6.0,5.0,4.0,7.0,8.0,8.0,6.0,5.0,7.0,13.0,4.0,7.0,4.0,8.0,2
E,3.0,5.0,5.0,3.0,2.0,8.0,7.0,2.0,8.0,11.0,5.0,8.0,2.0,8.0,5.0,10.0,4
W,4.0,6.0,6.0,4.0,8.0,9.0,7.0,5.0,2.0,7.0,6.0,8.0,9.0,11.0,2.0,7.0,22
A,2.0,5.0,4.0,3.0,2.0,7.0,3.0,1.0,2.0,6.0,2.0,8.0,3.0,5.0,2.0,8.0,0
M,7.0,9.0,9.0,6.0,8.0,8.0,7.0,2.0,5.0,9.0,6.0,8.0,8.0,6.0,2.0,8.0,12
O,2.0,6.0,3.0,4.0,2.0,7.0,8.0,7.0,5.0,7.0,7.0,7.0,3.0,8.0,3.0,7.0,14
Q,3.0,6.0,4.0,7.0,4.0,9.0,7.0,7.0,3.0,5.0,6.0,10.0,3.0,8.0,6.0,10.0,16
L,2.0,5.0,3.0,4.0,2.0,4.0,4.0,5.0,7.0,2.0,2.0,6.0,1.0,6.0,1.0,6.0,11
F,3.0,5.0,3.0,3.0,2.0,6.0,10.0,4.0,5.0,10.0,9.0,5.0,2.0,10.0,3.0,6.0,5
P,4.0,9.0,4.0,6.0,2.0,3.0,13.0,8.0,2.0,11.0,7.0,3.0,1.0,10.0,4.0,8.0,15
G,4.0,7.0,6.0,5.0,4.0,6.0,6.0,5.0,5.0,6.0,6.0,7.0,3.0,7.0,4.0,7.0,6
Z,7.0,10.0,9.0,8.0,6.0,6.0,9.0,3.0,9.0,12.0,8.0,6.0,3.0,10.0,7.0,6.0,25
F,1.0,0.0,1.0,1.0,0.0,3.0,12.0,4.0,2.0,11.0,9.0,6.0,0.0,8.0,2.0,7.0,5
O,3.0,4.0,4.0,3.0,2.0,7.0,7.0,7.0,4.0,9.0,6.0,8.0,2.0,8.0,3.0,8.0,14
U,9.0,12.0,8.0,6.0,3.0,5.0,4.0,5.0,5.0,4.0,8.0,7.0,6.0,7.0,2.0,7.0,20
J,3.0,8.0,5.0,6.0,3.0,12.0,4.0,4.0,5.0,14.0,2.0,9.0,0.0,7.0,0.0,8.0,9
X,4.0,6.0,6.0,6.0,5.0,6.0,7.0,2.0,5.0,7.0,7.0,9.0,3.0,9.0,8.0,8.0,23
V,8.0,11.0,7.0,8.0,5.0,2.0,11.0,2.0,3.0,10.0,11.0,8.0,2.0,10.0,1.0,8.0,21
U,5.0,5.0,6.0,4.0,3.0,4.0,8.0,5.0,8.0,10.0,9.0,9.0,3.0,9.0,2.0,5.0,20
J,1.0,7.0,2.0,5.0,1.0,11.0,3.0,9.0,3.0,12.0,6.0,13.0,1.0,6.0,0.0,8.0,9
T,3.0,6.0,5.0,8.0,1.0,5.0,14.0,1.0,6.0,9.0,11.0,7.0,0.0,8.0,0.0,8.0,19
S,4.0,11.0,5.0,8.0,4.0,7.0,8.0,8.0,8.0,8.0,4.0,6.0,2.0,6.0,9.0,8.0,18
R,4.0,5.0,6.0,4.0,4.0,8.0,8.0,4.0,5.0,9.0,5.0,7.0,3.0,6.0,4.0,10.0,17
W,2.0,3.0,4.0,2.0,2.0,9.0,11.0,3.0,2.0,5.0,9.0,7.0,6.0,10.0,0.0,8.0,22
D,5.0,11.0,7.0,8.0,6.0,11.0,6.0,2.0,7.0,11.0,3.0,7.0,4.0,7.0,4.0,9.0,3
Q,2.0,1.0,2.0,2.0,1.0,9.0,6.0,7.0,4.0,6.0,6.0,9.0,3.0,8.0,3.0,8.0,16
N,4.0,5.0,6.0,4.0,5.0,8.0,8.0,5.0,4.0,8.0,6.0,7.0,6.0,9.0,6.0,3.0,13
L,1.0,3.0,2.0,2.0,1.0,7.0,4.0,1.0,7.0,7.0,2.0,10.0,0.0,7.0,2.0,8.0,11
M,5.0,5.0,6.0,4.0,4.0,8.0,6.0,6.0,5.0,6.0,7.0,7.0,10.0,6.0,4.0,6.0,12
L,3.0,8.0,3.0,6.0,1.0,0.0,1.0,5.0,6.0,0.0,0.0,7.0,0.0,8.0,0.0,8.0,11
C,2.0,5.0,3.0,3.0,1.0,5.0,9.0,5.0,7.0,12.0,9.0,11.0,1.0,10.0,2.0,7.0,2
B,4.0,10.0,5.0,7.0,5.0,8.0,7.0,6.0,7.0,6.0,6.0,6.0,2.0,8.0,7.0,10.0,1
Y,2.0,7.0,4.0,4.0,1.0,6.0,10.0,2.0,2.0,7.0,12.0,8.0,1.0,11.0,0.0,8.0,24
Z,2.0,6.0,3.0,4.0,3.0,8.0,7.0,5.0,9.0,7.0,7.0,7.0,1.0,8.0,7.0,8.0,25
J,2.0,7.0,2.0,5.0,1.0,13.0,2.0,7.0,5.0,14.0,2.0,11.0,0.0,7.0,0.0,8.0,9
A,3.0,4.0,5.0,6.0,2.0,5.0,4.0,3.0,2.0,5.0,1.0,7.0,3.0,7.0,2.0,7.0,0
Q,2.0,3.0,3.0,4.0,2.0,8.0,7.0,5.0,2.0,8.0,7.0,9.0,2.0,9.0,3.0,9.0,16
B,3.0,4.0,4.0,6.0,3.0,6.0,9.0,9.0,8.0,7.0,5.0,7.0,2.0,8.0,9.0,10.0,1
Q,2.0,2.0,3.0,3.0,2.0,7.0,9.0,4.0,1.0,7.0,8.0,10.0,2.0,9.0,4.0,8.0,16
G,3.0,9.0,5.0,6.0,2.0,7.0,6.0,8.0,7.0,6.0,6.0,8.0,2.0,7.0,6.0,11.0,6
A,4.0,5.0,6.0,8.0,2.0,7.0,4.0,3.0,2.0,7.0,1.0,8.0,3.0,6.0,3.0,8.0,0
J,2.0,3.0,3.0,4.0,1.0,14.0,2.0,6.0,5.0,13.0,2.0,10.0,0.0,8.0,0.0,8.0,9
S,2.0,5.0,4.0,3.0,2.0,8.0,7.0,3.0,7.0,11.0,5.0,7.0,1.0,9.0,4.0,8.0,18
T,5.0,6.0,5.0,4.0,2.0,6.0,10.0,2.0,9.0,11.0,9.0,4.0,1.0,10.0,3.0,4.0,19
O,5.0,11.0,7.0,8.0,6.0,7.0,7.0,8.0,5.0,6.0,7.0,11.0,6.0,7.0,5.0,7.0,14
A,2.0,4.0,4.0,3.0,2.0,11.0,2.0,2.0,2.0,9.0,2.0,9.0,2.0,6.0,2.0,8.0,0
R,4.0,8.0,5.0,6.0,4.0,8.0,9.0,4.0,6.0,8.0,4.0,9.0,3.0,6.0,5.0,11.0,17
G,6.0,9.0,7.0,7.0,8.0,8.0,6.0,4.0,2.0,6.0,6.0,10.0,7.0,7.0,7.0,13.0,6
R,2.0,3.0,4.0,2.0,2.0,8.0,7.0,4.0,5.0,9.0,4.0,7.0,2.0,7.0,4.0,10.0,17
B,2.0,5.0,4.0,4.0,3.0,7.0,7.0,3.0,5.0,10.0,6.0,6.0,2.0,8.0,5.0,8.0,1
K,4.0,8.0,6.0,6.0,4.0,9.0,5.0,2.0,7.0,10.0,3.0,9.0,4.0,7.0,5.0,11.0,10
J,4.0,7.0,6.0,5.0,2.0,5.0,9.0,3.0,6.0,15.0,7.0,9.0,1.0,6.0,1.0,7.0,9
Y,3.0,7.0,5.0,5.0,2.0,8.0,10.0,2.0,6.0,4.0,11.0,9.0,2.0,12.0,2.0,7.0,24
I,3.0,9.0,4.0,6.0,3.0,6.0,8.0,0.0,7.0,13.0,7.0,8.0,0.0,8.0,1.0,7.0,8
W,9.0,12.0,8.0,6.0,4.0,1.0,8.0,4.0,2.0,11.0,12.0,9.0,7.0,10.0,0.0,7.0,22
O,5.0,5.0,7.0,4.0,4.0,8.0,5.0,4.0,5.0,8.0,4.0,8.0,3.0,8.0,4.0,8.0,14
I,7.0,8.0,9.0,9.0,8.0,7.0,8.0,4.0,5.0,7.0,7.0,7.0,4.0,7.0,10.0,10.0,8
K,3.0,4.0,5.0,3.0,3.0,4.0,9.0,2.0,7.0,10.0,10.0,10.0,3.0,8.0,3.0,6.0,10
D,2.0,5.0,4.0,4.0,3.0,9.0,6.0,4.0,6.0,10.0,4.0,6.0,2.0,8.0,3.0,8.0,3
X,3.0,9.0,4.0,6.0,1.0,7.0,7.0,4.0,4.0,7.0,6.0,8.0,3.0,8.0,4.0,8.0,23
D,5.0,7.0,7.0,6.0,6.0,6.0,7.0,5.0,7.0,7.0,6.0,9.0,4.0,5.0,6.0,5.0,3
K,3.0,9.0,4.0,6.0,2.0,4.0,8.0,8.0,2.0,7.0,4.0,11.0,4.0,8.0,2.0,10.0,10
G,6.0,8.0,8.0,7.0,9.0,7.0,9.0,6.0,2.0,7.0,7.0,8.0,7.0,11.0,7.0,7.0,6
Q,5.0,7.0,6.0,9.0,6.0,10.0,11.0,6.0,3.0,3.0,8.0,12.0,3.0,10.0,7.0,10.0,16
P,4.0,8.0,6.0,6.0,5.0,6.0,8.0,6.0,5.0,9.0,7.0,4.0,2.0,10.0,4.0,7.0,15
A,8.0,15.0,6.0,8.0,4.0,8.0,3.0,3.0,2.0,7.0,4.0,11.0,5.0,5.0,4.0,7.0,0
Q,3.0,5.0,3.0,6.0,3.0,8.0,8.0,5.0,2.0,8.0,8.0,10.0,3.0,8.0,5.0,8.0,16
C,2.0,2.0,3.0,4.0,2.0,6.0,8.0,7.0,8.0,8.0,8.0,13.0,1.0,9.0,4.0,10.0,2
I,1.0,1.0,1.0,3.0,1.0,7.0,7.0,1.0,6.0,7.0,6.0,8.0,0.0,8.0,2.0,8.0,8
U,5.0,9.0,5.0,7.0,2.0,7.0,4.0,15.0,6.0,7.0,13.0,8.0,3.0,9.0,0.0,8.0,20
O,4.0,9.0,5.0,6.0,4.0,8.0,7.0,8.0,5.0,9.0,5.0,8.0,3.0,8.0,3.0,8.0,14
D,2.0,1.0,3.0,1.0,2.0,7.0,7.0,6.0,7.0,7.0,6.0,5.0,2.0,8.0,3.0,7.0,3
N,7.0,11.0,6.0,6.0,3.0,9.0,11.0,5.0,4.0,4.0,6.0,10.0,6.0,10.0,2.0,6.0,13
Y,2.0,3.0,4.0,5.0,1.0,8.0,10.0,2.0,3.0,6.0,12.0,8.0,1.0,11.0,0.0,8.0,24
Z,3.0,8.0,4.0,6.0,2.0,7.0,7.0,4.0,13.0,9.0,6.0,8.0,0.0,8.0,8.0,8.0,25
L,2.0,5.0,4.0,3.0,2.0,7.0,4.0,1.0,8.0,8.0,2.0,10.0,0.0,7.0,2.0,8.0,11
V,4.0,9.0,7.0,6.0,3.0,6.0,12.0,3.0,4.0,8.0,12.0,8.0,3.0,10.0,1.0,8.0,21
A,2.0,6.0,3.0,4.0,2.0,9.0,4.0,2.0,0.0,8.0,2.0,8.0,2.0,6.0,1.0,8.0,0
N,6.0,10.0,9.0,8.0,4.0,8.0,8.0,3.0,5.0,10.0,4.0,6.0,6.0,9.0,1.0,6.0,13
G,4.0,7.0,5.0,5.0,3.0,6.0,7.0,7.0,7.0,10.0,7.0,11.0,2.0,9.0,4.0,9.0,6
A,2.0,1.0,4.0,1.0,1.0,8.0,4.0,2.0,0.0,7.0,2.0,8.0,2.0,6.0,2.0,8.0,0
D,6.0,9.0,8.0,7.0,5.0,9.0,7.0,5.0,8.0,11.0,5.0,5.0,3.0,8.0,4.0,9.0,3
U,5.0,9.0,7.0,8.0,6.0,7.0,7.0,4.0,4.0,6.0,5.0,8.0,8.0,7.0,2.0,8.0,20
M,4.0,3.0,5.0,5.0,3.0,7.0,7.0,12.0,1.0,7.0,9.0,8.0,8.0,6.0,0.0,8.0,12
J,2.0,6.0,3.0,4.0,1.0,13.0,2.0,8.0,4.0,13.0,4.0,13.0,1.0,6.0,0.0,8.0,9
D,5.0,10.0,8.0,8.0,6.0,10.0,6.0,3.0,7.0,11.0,4.0,7.0,4.0,7.0,3.0,9.0,3
X,2.0,4.0,4.0,2.0,2.0,7.0,7.0,1.0,8.0,10.0,6.0,8.0,2.0,8.0,3.0,7.0,23
U,3.0,7.0,5.0,5.0,3.0,8.0,8.0,6.0,7.0,5.0,9.0,8.0,3.0,9.0,1.0,8.0,20
X,5.0,11.0,6.0,6.0,4.0,6.0,9.0,2.0,6.0,10.0,10.0,8.0,4.0,14.0,4.0,6.0,23
M,4.0,6.0,4.0,4.0,2.0,8.0,7.0,12.0,1.0,6.0,9.0,8.0,8.0,6.0,0.0,8.0,12
L,3.0,6.0,4.0,4.0,2.0,6.0,4.0,3.0,7.0,6.0,2.0,8.0,1.0,6.0,2.0,7.0,11
F,6.0,9.0,8.0,7.0,5.0,9.0,8.0,1.0,8.0,14.0,5.0,6.0,5.0,8.0,5.0,9.0,5
G,4.0,11.0,5.0,8.0,3.0,7.0,6.0,9.0,8.0,6.0,6.0,11.0,2.0,8.0,5.0,11.0,6
U,5.0,10.0,7.0,7.0,5.0,7.0,9.0,4.0,6.0,5.0,8.0,10.0,6.0,10.0,1.0,7.0,20
C,8.0,15.0,6.0,8.0,5.0,5.0,10.0,4.0,5.0,9.0,7.0,8.0,3.0,9.0,9.0,9.0,2
Q,3.0,6.0,5.0,6.0,4.0,8.0,8.0,6.0,4.0,5.0,8.0,9.0,3.0,8.0,5.0,9.0,16
I,1.0,4.0,2.0,3.0,1.0,7.0,8.0,0.0,7.0,13.0,6.0,8.0,0.0,8.0,1.0,7.0,8
F,2.0,8.0,3.0,5.0,1.0,1.0,11.0,4.0,6.0,11.0,11.0,9.0,0.0,8.0,2.0,6.0,5
K,6.0,9.0,6.0,5.0,4.0,5.0,8.0,3.0,5.0,10.0,9.0,11.0,5.0,9.0,3.0,6.0,10
D,4.0,8.0,6.0,6.0,4.0,7.0,9.0,7.0,7.0,11.0,6.0,4.0,4.0,8.0,5.0,9.0,3
R,3.0,2.0,4.0,3.0,3.0,7.0,8.0,4.0,6.0,6.0,5.0,7.0,3.0,5.0,5.0,8.0,17
O,7.0,10.0,5.0,5.0,3.0,5.0,7.0,6.0,4.0,10.0,7.0,9.0,5.0,10.0,5.0,7.0,14
A,3.0,9.0,5.0,7.0,3.0,12.0,3.0,3.0,3.0,10.0,1.0,9.0,2.0,6.0,2.0,8.0,0
U,5.0,10.0,7.0,8.0,6.0,8.0,7.0,7.0,6.0,7.0,7.0,9.0,6.0,8.0,4.0,7.0,20
V,2.0,2.0,3.0,3.0,1.0,5.0,12.0,3.0,3.0,9.0,11.0,9.0,2.0,10.0,1.0,8.0,21
B,1.0,1.0,2.0,1.0,1.0,7.0,7.0,7.0,5.0,6.0,6.0,7.0,1.0,8.0,7.0,9.0,1
O,1.0,0.0,2.0,1.0,0.0,8.0,7.0,7.0,4.0,7.0,6.0,8.0,2.0,8.0,3.0,8.0,14
P,4.0,8.0,6.0,12.0,11.0,8.0,8.0,5.0,0.0,8.0,7.0,7.0,6.0,10.0,5.0,8.0,15
Y,8.0,8.0,7.0,11.0,5.0,9.0,9.0,3.0,3.0,5.0,11.0,5.0,4.0,10.0,7.0,8.0,24
C,4.0,9.0,4.0,5.0,3.0,6.0,8.0,4.0,3.0,9.0,9.0,10.0,3.0,9.0,8.0,9.0,2
P,2.0,5.0,4.0,4.0,2.0,7.0,10.0,4.0,4.0,12.0,5.0,3.0,1.0,10.0,2.0,8.0,15
T,5.0,10.0,7.0,7.0,8.0,6.0,8.0,4.0,6.0,7.0,6.0,9.0,5.0,8.0,5.0,6.0,19
T,6.0,8.0,6.0,6.0,3.0,4.0,12.0,3.0,8.0,12.0,10.0,4.0,1.0,10.0,2.0,5.0,19
M,7.0,9.0,9.0,6.0,8.0,6.0,7.0,2.0,4.0,9.0,8.0,9.0,8.0,6.0,2.0,8.0,12
D,2.0,4.0,3.0,2.0,2.0,7.0,7.0,6.0,6.0,7.0,7.0,5.0,2.0,8.0,2.0,7.0,3
C,3.0,7.0,4.0,5.0,1.0,6.0,8.0,7.0,10.0,5.0,7.0,13.0,1.0,7.0,4.0,9.0,2
S,6.0,11.0,8.0,8.0,10.0,9.0,8.0,5.0,4.0,9.0,5.0,7.0,5.0,10.0,13.0,8.0,18
N,6.0,11.0,8.0,8.0,5.0,7.0,8.0,2.0,5.0,10.0,6.0,7.0,5.0,8.0,1.0,7.0,13
X,5.0,7.0,8.0,5.0,4.0,11.0,5.0,2.0,8.0,10.0,1.0,7.0,2.0,7.0,3.0,10.0,23
U,4.0,4.0,5.0,3.0,2.0,4.0,8.0,5.0,7.0,11.0,10.0,9.0,3.0,9.0,2.0,6.0,20
L,4.0,7.0,6.0,6.0,5.0,7.0,7.0,4.0,5.0,7.0,6.0,7.0,3.0,9.0,8.0,11.0,11
A,1.0,0.0,2.0,0.0,0.0,8.0,4.0,2.0,0.0,7.0,2.0,8.0,2.0,7.0,1.0,8.0,0
J,4.0,8.0,3.0,11.0,3.0,6.0,9.0,3.0,3.0,13.0,5.0,6.0,3.0,8.0,6.0,9.0,9
J,5.0,10.0,6.0,8.0,4.0,9.0,4.0,6.0,5.0,15.0,5.0,12.0,1.0,6.0,1.0,6.0,9
I,3.0,11.0,4.0,8.0,2.0,7.0,7.0,0.0,8.0,13.0,6.0,8.0,0.0,8.0,1.0,8.0,8
Q,7.0,8.0,9.0,12.0,11.0,9.0,9.0,7.0,0.0,6.0,7.0,10.0,9.0,14.0,6.0,7.0,16
N,8.0,15.0,10.0,8.0,5.0,6.0,8.0,2.0,4.0,13.0,8.0,9.0,6.0,8.0,0.0,7.0,13
B,3.0,6.0,5.0,4.0,3.0,9.0,7.0,4.0,6.0,10.0,5.0,7.0,2.0,8.0,5.0,10.0,1
M,2.0,3.0,4.0,2.0,2.0,7.0,6.0,3.0,4.0,9.0,7.0,8.0,6.0,5.0,1.0,8.0,12
M,1.0,0.0,2.0,0.0,1.0,7.0,6.0,9.0,0.0,7.0,8.0,8.0,5.0,6.0,0.0,8.0,12
L,5.0,11.0,6.0,8.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,8.0,5.0,7.0,4.0,10.0,11
W,9.0,12.0,9.0,7.0,6.0,8.0,8.0,4.0,4.0,6.0,9.0,6.0,11.0,8.0,3.0,6.0,22
Y,3.0,2.0,5.0,4.0,2.0,6.0,10.0,1.0,8.0,8.0,11.0,8.0,1.0,11.0,2.0,8.0,24
C,1.0,3.0,2.0,2.0,1.0,6.0,8.0,7.0,7.0,8.0,7.0,13.0,1.0,9.0,4.0,10.0,2
P,4.0,8.0,6.0,11.0,10.0,8.0,9.0,4.0,0.0,8.0,7.0,6.0,8.0,10.0,6.0,8.0,15
X,3.0,6.0,5.0,4.0,3.0,7.0,7.0,4.0,9.0,6.0,6.0,6.0,3.0,8.0,6.0,7.0,23
Y,4.0,10.0,6.0,7.0,4.0,4.0,8.0,2.0,7.0,10.0,13.0,10.0,2.0,11.0,2.0,6.0,24
G,2.0,4.0,3.0,2.0,2.0,6.0,7.0,5.0,6.0,9.0,7.0,10.0,1.0,8.0,4.0,9.0,6
W,4.0,4.0,6.0,3.0,3.0,9.0,11.0,3.0,2.0,5.0,9.0,7.0,7.0,11.0,1.0,8.0,22
U,5.0,10.0,8.0,8.0,4.0,5.0,9.0,7.0,8.0,8.0,10.0,10.0,3.0,9.0,1.0,8.0,20
V,8.0,11.0,8.0,8.0,4.0,4.0,12.0,2.0,4.0,8.0,11.0,7.0,6.0,10.0,1.0,7.0,21
S,1.0,0.0,2.0,1.0,1.0,8.0,7.0,4.0,7.0,5.0,6.0,7.0,0.0,8.0,7.0,8.0,18
H,4.0,5.0,8.0,4.0,4.0,5.0,8.0,3.0,6.0,10.0,8.0,8.0,3.0,8.0,3.0,6.0,7
H,4.0,10.0,4.0,7.0,2.0,7.0,7.0,15.0,1.0,7.0,6.0,8.0,3.0,8.0,0.0,8.0,7
Q,7.0,9.0,7.0,11.0,8.0,7.0,9.0,5.0,2.0,7.0,9.0,11.0,4.0,8.0,8.0,9.0,16
K,10.0,14.0,9.0,8.0,4.0,8.0,7.0,3.0,7.0,9.0,5.0,7.0,6.0,9.0,4.0,7.0,10
S,2.0,6.0,3.0,4.0,2.0,8.0,7.0,7.0,6.0,8.0,7.0,9.0,2.0,9.0,9.0,8.0,18
M,3.0,1.0,4.0,2.0,3.0,8.0,6.0,6.0,4.0,6.0,7.0,8.0,7.0,5.0,2.0,8.0,12
R,9.0,10.0,7.0,6.0,4.0,7.0,8.0,5.0,5.0,9.0,4.0,9.0,7.0,5.0,6.0,11.0,17
S,5.0,8.0,6.0,6.0,3.0,7.0,7.0,4.0,8.0,11.0,5.0,8.0,2.0,8.0,5.0,8.0,18
Z,4.0,7.0,5.0,5.0,3.0,7.0,7.0,2.0,9.0,11.0,6.0,7.0,2.0,8.0,6.0,7.0,25
T,3.0,8.0,4.0,6.0,4.0,6.0,11.0,3.0,6.0,8.0,11.0,8.0,2.0,12.0,1.0,7.0,19
L,3.0,5.0,4.0,8.0,1.0,0.0,1.0,5.0,6.0,0.0,0.0,7.0,0.0,8.0,0.0,8.0,11
C,2.0,4.0,3.0,3.0,1.0,4.0,9.0,5.0,6.0,11.0,9.0,11.0,1.0,9.0,2.0,8.0,2
Y,3.0,5.0,5.0,4.0,2.0,6.0,10.0,1.0,8.0,8.0,12.0,8.0,1.0,11.0,2.0,7.0,24
N,3.0,2.0,4.0,4.0,3.0,7.0,8.0,5.0,5.0,7.0,7.0,6.0,5.0,9.0,2.0,5.0,13
T,7.0,9.0,6.0,5.0,2.0,7.0,8.0,3.0,8.0,13.0,6.0,7.0,2.0,8.0,5.0,5.0,19
Y,6.0,8.0,6.0,6.0,4.0,3.0,9.0,2.0,6.0,10.0,11.0,7.0,2.0,11.0,2.0,5.0,24
J,5.0,9.0,6.0,7.0,4.0,9.0,5.0,5.0,5.0,8.0,6.0,6.0,2.0,7.0,4.0,6.0,9
U,5.0,10.0,6.0,8.0,5.0,6.0,9.0,5.0,7.0,6.0,9.0,9.0,3.0,9.0,1.0,8.0,20
I,1.0,11.0,0.0,8.0,0.0,7.0,7.0,4.0,4.0,7.0,6.0,8.0,0.0,8.0,0.0,8.0,8
S,4.0,8.0,5.0,6.0,6.0,8.0,5.0,4.0,4.0,8.0,6.0,10.0,4.0,8.0,8.0,10.0,18
K,6.0,9.0,7.0,4.0,4.0,10.0,6.0,4.0,5.0,11.0,2.0,7.0,5.0,7.0,3.0,9.0,10
F,2.0,2.0,3.0,3.0,2.0,5.0,10.0,4.0,5.0,11.0,9.0,5.0,1.0,10.0,3.0,6.0,5
F,3.0,8.0,3.0,5.0,1.0,1.0,11.0,5.0,6.0,11.0,10.0,9.0,0.0,8.0,3.0,6.0,5
F,4.0,5.0,6.0,5.0,5.0,7.0,9.0,4.0,4.0,8.0,7.0,6.0,4.0,9.0,8.0,8.0,5
X,6.0,9.0,8.0,7.0,7.0,7.0,6.0,3.0,5.0,6.0,6.0,10.0,4.0,6.0,11.0,9.0,23
F,3.0,6.0,4.0,4.0,4.0,7.0,8.0,4.0,6.0,8.0,8.0,6.0,5.0,9.0,3.0,7.0,5
Y,2.0,7.0,4.0,5.0,2.0,10.0,10.0,3.0,1.0,6.0,12.0,8.0,2.0,11.0,0.0,8.0,24
G,2.0,4.0,3.0,3.0,2.0,6.0,7.0,6.0,6.0,6.0,6.0,11.0,2.0,9.0,4.0,9.0,6
L,3.0,6.0,4.0,6.0,4.0,8.0,6.0,5.0,4.0,7.0,7.0,8.0,3.0,8.0,7.0,10.0,11
Q,6.0,7.0,9.0,6.0,6.0,8.0,4.0,4.0,5.0,7.0,3.0,8.0,3.0,6.0,5.0,7.0,16
J,5.0,7.0,4.0,10.0,3.0,8.0,8.0,3.0,3.0,12.0,4.0,5.0,2.0,8.0,7.0,9.0,9
